source,indicator_code,series_name,category,reference_date,published_at,collected_at,value,unit,frequency,currency,market_scope,source_url,metadata
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-16,,2026-03-29T09:24:21.803585+00:00,213.5227,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-17,,2026-03-29T09:24:21.803585+00:00,215.7508,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-18,,2026-03-29T09:24:21.803585+00:00,216.4637,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-19,,2026-03-29T09:24:21.803585+00:00,214.7605,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-20,,2026-03-29T09:24:21.803585+00:00,215.9999,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-23,,2026-03-29T09:24:21.803585+00:00,213.4340,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-24,,2026-03-29T09:24:21.803585+00:00,213.9487,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-25,,2026-03-29T09:24:21.803585+00:00,213.9635,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-26,,2026-03-29T09:24:21.803585+00:00,213.3080,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_buy,AUD/LKR TT Buy Exchange Rate,exchange_rate,2026-03-27,,2026-03-29T09:24:21.803585+00:00,212.0483,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
