source,indicator_code,series_name,category,reference_date,published_at,collected_at,value,unit,frequency,currency,market_scope,source_url,metadata
dcs,ccpi_colombo,Colombo Consumer Price Index (CCPI),inflation,2026-02-28,2026-02-27T00:00:00+05:30,2026-03-31T04:58:43.831525+00:00,195.3,index points,monthly,,Colombo district,https://www.statistics.gov.lk/Resource/en/InflationAndPrices/CCPI/MOVEMENTS_of_CCPI_with_MV_Base2021.pdf,"{""history_file"": ""ccpi_colombo"", ""latest_group"": ""dcs_ccpi"", ""month_on_month_percent"": ""-0.9"", ""reference_date_convention"": ""month_end"", ""release_code"": ""20260227"", ""release_page"": ""https://www.statistics.gov.lk/InflationAndPrices/StaticalInformation/MonthlyCCPI/CCPI_20260227E"", ""twelve_month_moving_average_percent"": ""0.5"", ""year_on_year_percent"": ""1.6""}"
dcs,ccpi_colombo,Colombo Consumer Price Index (CCPI),inflation,2026-03-31,2026-03-31T00:00:00+05:30,2026-04-30T05:43:59.452311+00:00,195.8,index points,monthly,,Colombo district,https://www.statistics.gov.lk/Resource/en/InflationAndPrices/CCPI/MOVEMENTS_of_CCPI_with_MV_Base2021.pdf,"{""history_file"": ""ccpi_colombo"", ""latest_group"": ""dcs_ccpi"", ""month_on_month_percent"": ""0.3"", ""reference_date_convention"": ""month_end"", ""release_code"": ""20260331"", ""release_page"": ""https://www.statistics.gov.lk/InflationAndPrices/StaticalInformation/MonthlyCCPI/CCPI_20260331E"", ""twelve_month_moving_average_percent"": ""0.9"", ""year_on_year_percent"": ""2.2""}"
dcs,ccpi_colombo,Colombo Consumer Price Index (CCPI),inflation,2026-04-30,2026-04-30T00:00:00+05:30,2026-05-29T06:38:13.501834+00:00,201.6,index points,monthly,,Colombo district,https://www.statistics.gov.lk/Resource/en/InflationAndPrices/CCPI/MOVEMENTS_of_CCPI_with_MV_Base2021.pdf,"{""history_file"": ""ccpi_colombo"", ""latest_group"": ""dcs_ccpi"", ""month_on_month_percent"": ""3.0"", ""reference_date_convention"": ""month_end"", ""release_code"": ""20260430"", ""release_page"": ""https://www.statistics.gov.lk/InflationAndPrices/StaticalInformation/MonthlyCCPI/CCPI_20260430E"", ""twelve_month_moving_average_percent"": ""1.6"", ""year_on_year_percent"": ""5.4""}"
dcs,ccpi_colombo,Colombo Consumer Price Index (CCPI),inflation,2026-05-31,2026-05-29T00:00:00+05:30,2026-06-30T06:38:21.331106+00:00,203.4,index points,monthly,,Colombo district,https://www.statistics.gov.lk/Resource/en/InflationAndPrices/CCPI/MOVEMENTS_of_CCPI_with_MV_Base2021.pdf,"{""history_file"": ""ccpi_colombo"", ""latest_group"": ""dcs_ccpi"", ""month_on_month_percent"": ""0.9"", ""reference_date_convention"": ""month_end"", ""release_code"": ""20260529"", ""release_page"": ""https://www.statistics.gov.lk/InflationAndPrices/StaticalInformation/MonthlyCCPI/CCPI_20260529E"", ""twelve_month_moving_average_percent"": ""2.1"", ""year_on_year_percent"": ""5.5""}"
dcs,ccpi_colombo,Colombo Consumer Price Index (CCPI),inflation,2026-06-30,2026-06-30T00:00:00+05:30,2026-07-14T05:14:10.577027+00:00,207.7,index points,monthly,,Colombo district,https://www.statistics.gov.lk/Resource/en/InflationAndPrices/CCPI/MOVEMENTS_of_CCPI_with_MV_Base2021.pdf,"{""history_file"": ""ccpi_colombo"", ""latest_group"": ""dcs_ccpi"", ""month_on_month_percent"": ""2.1"", ""reference_date_convention"": ""month_end"", ""release_code"": ""20260630"", ""release_page"": ""https://www.statistics.gov.lk/InflationAndPrices/StaticalInformation/MonthlyCCPI/CCPI_20260630E"", ""twelve_month_moving_average_percent"": ""2.7"", ""year_on_year_percent"": ""6.8""}"
