source,indicator_code,series_name,category,reference_date,published_at,collected_at,value,unit,frequency,currency,market_scope,source_url,metadata
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-16,,2026-03-30T21:41:55.540925+00:00,412.4068,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-17,,2026-03-31T21:39:24.339520+00:00,414.3822,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-18,,2026-04-01T21:41:47.710797+00:00,415.7284,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-19,,2026-04-02T21:38:20.272192+00:00,413.9045,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-20,,2026-04-03T21:34:06.290708+00:00,417.6916,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-23,,2026-04-06T21:38:11.523186+00:00,415.5592,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-24,,2026-04-07T21:44:58.811064+00:00,419.5282,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-25,,2026-04-08T21:41:23.241647+00:00,421.2703,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-26,,2026-04-09T21:45:41.566202+00:00,418.8168,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-27,,2026-04-10T21:37:45.921083+00:00,419.4224,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-30,,2026-04-13T21:50:59.178237+00:00,417.2100,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-03-31,,2026-04-14T21:52:49.576347+00:00,416.3672,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-04-02,,2026-04-16T21:42:44.424597+00:00,417.6848,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-04-06,,2026-04-20T21:47:51.996381+00:00,416.7475,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-04-07,,2026-04-21T21:45:59.640736+00:00,416.8987,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-04-08,,2026-04-22T21:51:49.316820+00:00,422.7062,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
cbsl,gbp_lkr_indicative,GBP/LKR Indicative Exchange Rate,exchange_rate,2026-04-09,,2026-04-23T21:45:58.290777+00:00,422.2968,LKR per GBP,business_daily,GBP,,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-indicative-exchange-rates,"{""inverse_rate"": ""0.0024"", ""latest_group"": ""cbsl_fx"", ""rate_type"": ""indicative""}"
